id,title,company,location,url,date,tags,status
125,Sales Representative - US,SLY,"Sales, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/sales-representative-us-at-sly-4438450178,1 month ago,Tech Sales,À postuler
126,Solution Sales Specialist - Simulation,GRAITEC Italy,Greater Toulouse Metropolitan Area,https://fr.linkedin.com/jobs/view/solution-sales-specialist-simulation-at-graitec-italy-4448980226,1 week ago,"AI / IA, Sales Specialist",À postuler
127,> Sales Specialist – GMP Services,Cleanroom Technology Austria,"Sales, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/sales-specialist-%E2%80%93-gmp-services-at-cleanroom-technology-austria-4450910731,1 week ago,"AI / IA, Sales Specialist",À postuler
128,"Director/Senior Director, Strategic Solutions",C3 AI,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/director-senior-director-strategic-solutions-at-c3-ai-4430620498,1 week ago,"Senior / Lead, Tech Sales",À postuler
129,"Regional GTM Director, France",Higgsfield AI,France,https://fr.linkedin.com/jobs/view/regional-gtm-director-france-at-higgsfield-ai-4450667937,1 week ago,"Senior / Lead, Tech Sales",À postuler
130,Regional GM - France,Unframe,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/regional-gm-france-at-unframe-4448837777,1 week ago,Tech Sales,À postuler
131,Account Executive — AI & Data,MP DATA,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-%E2%80%94-ai-data-at-mp-data-4422819634,2 months ago,"AI / IA, Data, Account Executive",À postuler
132,Founding Account Executive (M/F),Yourban.ai,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/founding-account-executive-m-f-at-yourban-ai-4451915939,6 days ago,Account Executive,À postuler
133,Account Executive Enterprise - SaaS B2B,Stakha,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-enterprise-saas-b2b-at-stakha-4453126295,5 days ago,Account Executive,À postuler
134,Account Executive - Enterprise,H Company,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-enterprise-at-h-company-4391090612,2 weeks ago,Account Executive,À postuler
135,Account Executive EMEA,DataDome,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-emea-at-datadome-4443176723,3 weeks ago,Account Executive,À postuler
136,Senior Account Executive - Data Foundation (MuleSoft + Informatica),Salesforce,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-account-executive-data-foundation-mulesoft-%2B-informatica-at-salesforce-4436771884,1 day ago,"Senior / Lead, Data, Account Executive",À postuler
137,Account Manager Data & IA(H/F/NB),Keyrus,"Levallois-Perret, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-manager-data-ia-h-f-nb-at-keyrus-4433023063,2 weeks ago,"AI / IA, Data, Tech Sales",À postuler
138,Account Executive Enterprise,Mayday,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-enterprise-at-mayday-4453588506,3 days ago,Account Executive,À postuler
139,Strategic Account Executive - Paris,Datadog,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/strategic-account-executive-paris-at-datadog-4342684657,1 week ago,Account Executive,À postuler
140,Account Executive,Massive,France,https://fr.linkedin.com/jobs/view/account-executive-at-massive-4449573456,1 week ago,Account Executive,À postuler
141,Enterprise Acount Executive,Anaplan,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/enterprise-acount-executive-at-anaplan-4440973625,1 week ago,Tech Sales,À postuler
142,Account Excecutive F/H,Datacend,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-excecutive-f-h-at-datacend-4422411211,2 months ago,Tech Sales,À postuler
143,Account Executive Confirmé - Data & IA (CDI) - Paris / Remote,JobEgo,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-confirm%C3%A9-data-ia-cdi-paris-remote-at-jobego-4449102747,1 week ago,"AI / IA, Data, Account Executive",À postuler
144,Account Executive Senior Saas H/F,SP SEARCH,"Guyancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-senior-saas-h-f-at-sp-search-4454358843,3 days ago,"Senior / Lead, Account Executive",À postuler
145,Business developer H/F,AIRRIA,"Meylan, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/business-developer-h-f-at-airria-4426972453,2 months ago,BizDev,À postuler
146,Business Developer Grand OUEST H/F,IQVIA,"Bordeaux, Nouvelle-Aquitaine, France",https://fr.linkedin.com/jobs/view/business-developer-grand-ouest-h-f-at-iqvia-4443340931,3 weeks ago,BizDev,À postuler
147,Account Manager Specialist AI Infrastructure (H/F),SCC France,"Nanterre, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-manager-specialist-ai-infrastructure-h-f-at-scc-france-4446727850,2 weeks ago,"AI / IA, Sales Specialist",À postuler
148,Applied AI - Commercial Excellence,Nexans,"Puteaux, Île-de-France, France",https://fr.linkedin.com/jobs/view/applied-ai-commercial-excellence-at-nexans-4443728236,5 days ago,"AI / IA, Tech Sales",À postuler
149,Solution Engineer,Kili Technology,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/solution-engineer-at-kili-technology-4445084411,2 weeks ago,Tech Sales,À postuler
150,Applied AI Engineer,Sia,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/applied-ai-engineer-at-sia-4442594238,4 weeks ago,"AI / IA, Tech Sales",À postuler
151,KERING AI Engineer,Kering,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/kering-ai-engineer-at-kering-4447548330,2 weeks ago,"AI / IA, Tech Sales",À postuler
152,AI Solutions engineer,Novaspace,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/ai-solutions-engineer-at-novaspace-4451834015,1 week ago,"AI / IA, Tech Sales",À postuler
153,Applied AI Engineer,Beamy,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/applied-ai-engineer-at-beamy-4442719887,4 weeks ago,"AI / IA, Tech Sales",À postuler
154,AI Business Strategy Manager,Nexans,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/ai-business-strategy-manager-at-nexans-4448415361,1 week ago,"AI / IA, Tech Sales",À postuler
155,AI Engineer,Pixid,"Courbevoie, Île-de-France, France",https://fr.linkedin.com/jobs/view/ai-engineer-at-pixid-4444316506,3 weeks ago,"AI / IA, Tech Sales",À postuler
156,HOW WE HIRE,SnapGeniX,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/how-we-hire-at-snapgenix-4447350288,1 week ago,Tech Sales,À postuler
157,AI Engineer / Sales Engineer,The QA Company,"St-Étienne, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/ai-engineer-sales-engineer-at-the-qa-company-4412764273,3 months ago,"AI / IA, Tech Sales",À postuler
158,Ingénieur IA F/H,GROUPE PIERREVAL,"Plérin, Brittany, France",https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-ia-f-h-at-groupe-pierreval-4446641963,1 week ago,"AI / IA, Tech Sales",À postuler
159,Ingénieur IA,CEVA SANTE ANIMALE,"Libourne, Nouvelle-Aquitaine, France",https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-ia-at-ceva-sante-animale-4448948047,1 week ago,"AI / IA, Tech Sales",À postuler
160,AI Engineer (H/F/NB),Keyrus,"Bordeaux, Nouvelle-Aquitaine, France",https://fr.linkedin.com/jobs/view/ai-engineer-h-f-nb-at-keyrus-4437560092,2 weeks ago,"AI / IA, Tech Sales",À postuler
161,Deployment Strategist - France - Global Expansion,ElevenLabs,France,https://fr.linkedin.com/jobs/view/deployment-strategist-france-global-expansion-at-elevenlabs-4455345568,10 hours ago,Tech Sales,À postuler
162,Ingénieur IA (H/F),ASI ®,"Lyon, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-ia-h-f-at-asi-%C2%AE-4440191242,3 weeks ago,"AI / IA, Tech Sales",À postuler
163,Head of AI Enablement,Bigblue,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/head-of-ai-enablement-at-bigblue-4429980993,2 months ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
164,Country Manager - France Market Launcher 🇫🇷,Murphy AI,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/country-manager-france-market-launcher-%F0%9F%87%AB%F0%9F%87%B7-at-murphy-ai-4440776948,1 month ago,Tech Sales,À postuler
165,"Global Senior Director, RevOps & GTM Operations",Botify,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/global-senior-director-revops-gtm-operations-at-botify-4418773590,2 months ago,"Senior / Lead, Tech Sales",À postuler
166,Sales Director - AI Business Process (CRM),Microsoft,"Issy-les-Moulineaux, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-director-ai-business-process-crm-at-microsoft-4434481341,1 week ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
167,Global Head of Engagement,Harmattan AI,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/global-head-of-engagement-at-harmattan-ai-4397379301,1 week ago,"Senior / Lead, Tech Sales",À postuler
168,Head of AI Ops,Pelico,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/head-of-ai-ops-at-pelico-4446573481,2 weeks ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
169,Head of AI - Healthtech Scale up,Lifen,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/head-of-ai-healthtech-scale-up-at-lifen-4455197480,1 day ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
170,Head of AI Enablement,UpSlide,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/head-of-ai-enablement-at-upslide-4451133130,1 week ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
171,Pre-Sales Solutions Architect - AI & GPU Infrastructure,Scaleway,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/pre-sales-solutions-architect-ai-gpu-infrastructure-at-scaleway-4452546481,1 hour ago,"AI / IA, Tech Sales",À postuler
